full_path,department,college,page_number,chapter_title,similarity_score,matched_query,source,label,originalIndex,audited,audit_value
/projects/open_etds/etd/dissertation/26022/Thesis.pdf,Engineering Mechanics,Engineering,65,Chapter 6: Conclusions,0.7404899033,conclusions,toc_analysis,CONCLUSION,26,True,accept
/projects/open_etds/etd/dissertation/78907/Waldron_CM_D_2017.pdf,Food Science and Technology,Other,100,Conclusion,,manual_conclusion,manual_labels,CONCLUSION,313,True,accept
/projects/open_etds/etd/dissertation/27063/JSJohnson.pdf,Adult Learning and Human Resource Development,Education,82,Chapter 5: Summary and Conclusions,0.766891166,summary and conclusions,toc_analysis,CONCLUSION|SUMMARY,75,True,accept
/projects/open_etds/etd/dissertation/30064/hopkinson_etd_2007.pdf,Mechanical Engineering,Engineering,125,Chapter 5 - Summary and Conclusions,0.7682635621,summary and conclusions,toc_analysis,CONCLUSION|SUMMARY,198,True,accept
/projects/open_etds/etd/dissertation/26625/Main-text.pdf,Chemistry,Sciences,182,Chapter 7. Conclusions,0.7552202313,conclusions,toc_analysis,CONCLUSION,58,True,accept
/projects/open_etds/etd/dissertation/77515/Michaelides_M_D_2017.pdf,Economics,Business,198,Chapter 7 Summary and Conclusions,,manual_conclusion,manual_labels,SUMMARY|CONCLUSION,300,True,accept
/projects/open_etds/etd/dissertation/77026/Erwin_SH_D_2017.pdf,Mathematics,Sciences,128,Chapter 6 Conclusion,,manual_conclusion,manual_labels,CONCLUSION,285,True,accept
/projects/open_etds/etd/dissertation/29654/Layman.Dissertation_Finalc.pdf,Macromolecular Science and Engineering,Engineering,298,Chapter 13. Suggested Future Work,0.7451819163,suggestions for future work,toc_analysis,FUTURE_WORK,183,True,accept
/projects/open_etds/etd/dissertation/37788/ZHANG_C_D_2012.pdf,Agricultural and Applied Economics,Business,159,Chapter 5_conclusion_5_4 kjb comments,0.6172099055,concluding remarks,toc_analysis,CONCLUSION,214,True,accept
/projects/open_etds/etd/dissertation/30128/GWilliamsPrincipalsPractices121208R.pdf,Educational Leadership and Policy Studies,Education,108,Chapter Three: Findings,0.6129978257,overall conclusions,toc_analysis,NONE,200,True,accept
/projects/open_etds/etd/dissertation/27101/AnnFornofDissertationFinal.pdf,Macromolecular Science and Engineering,Engineering,175,Chapter 8: Suggested Future Work,0.7683268428,suggestions for future work,toc_analysis,FUTURE_WORK,77,True,accept
/projects/open_etds/etd/dissertation/23743/Hwang_K_D_2013.pdf,School of Public and International Affairs,Social Sciences & Humanities,176,CHAPTER 6. CONCLUSION,0.7188285493,conclusion,toc_analysis,CONCLUSION,10,True,accept
/projects/open_etds/etd/dissertation/80573/Huhman_BM_D_2017.pdf,Electrical Engineering,Engineering,168,Chapter 5 Conclusions and Future Work,0.6436447828,recommendations for future research,toc_analysis,CONCLUSION|FUTURE_WORK,324,True,accept
/projects/open_etds/etd/dissertation/28087/ITSNET.pdf,Public Administration and Public Affairs,Social Sciences & Humanities,154,"CHAPTER VIII. OVERVIEW, EVALUATION, AND CONCLUSIONS",0.6645484844,summary and conclusions,toc_analysis,CONCLUSION|SUMMARY,128,True,accept
/projects/open_etds/etd/dissertation/73509/Judd_JP_D_2015.pdf,Civil and Environmental Engineering,Engineering,294,Chapter 9 CONCULSIONS,0.6489261756,conclusions,toc_analysis,CONCLUSION,268,True,accept
/projects/open_etds/etd/dissertation/28283/Brown.pdf,Teaching and Learning,Education,62,Chapter 5: Discussion and Conclusions,0.7796197678,discussion and conclusions,toc_analysis,CONCLUSION|DISCUSSION,134,True,accept
