Label,Total_Pages,Avg_Miss_Rate,Pages_Missed_By_All,Pages_Missed_By_Most
,2,1.000,2,2
SUMMARY|CONCLUSION,2,0.625,0,0
CONCLUSION,17,0.500,2,5
CONCLUSION|DISCUSSION,2,0.438,0,1
DISCUSSION,4,0.344,1,1
CONCLUSION|SUMMARY,2,0.312,0,0
FUTURE_WORK,5,0.150,0,0
DISCUSSION|IMPLICATIONS|LIMITATIONS,1,0.125,0,0
CONCLUSION|RECOMMENDATIONS,1,0.125,0,0
CONCLUSION|FUTURE_WORK|SUMMARY,1,0.125,0,0
CONCLUSION|RECOMMENDATIONS|SUMMARY,1,0.125,0,0
IMPLICATIONS|FUTURE_WORK,1,0.125,0,0
CONCLUSION|LIMITATIONS|RECOMMENDATIONS,1,0.125,0,0
CONCLUSION|FUTURE_WORK,5,0.125,0,0
CONCLUSION|FUTURE_WORK|RECOMMENDATIONS,1,0.125,0,0
SUMMARY,1,0.125,0,0
FUTURE_WORK|SUMMARY,1,0.125,0,0
